Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9876911600149199
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9884371503170459
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9865721745617307
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9876911600149199
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.9884371503170459
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.9876911600149199
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9869451697127938
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9880641551659829
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9858261842596047
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9880641551659829
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9876911600149199
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9854531891085416
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.9880641551659829
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.9820962327489743
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9873181648638568
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9884371503170459
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9466616933979858
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.8940693770980978
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.5248041775456919
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.12308839985080194
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.8769116001491981
Best Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9884371503170459

