Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9112271540469974
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9435173442745244
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9056322267810518
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9116001491980604
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.9019022752704214
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.9052592316299888
Parameter set: {'lr': 1e-06, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9019022752704214
Parameter set: {'lr': 1e-06, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9022752704214845
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9418127564341664
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9439612085042895
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9317418873554644
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.942970533383066
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8802685565087653
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.9063782170831779
Parameter set: {'lr': 1e-05, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9145841104065647
Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9123461395001865
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9414397612831034
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9306229019022753
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9268929503916449
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9423595673256248
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.9179410667661321
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.9108541588959344
Parameter set: {'lr': 0.0001, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9033942558746736
Parameter set: {'lr': 0.0001, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9048862364789257
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9164490861618799
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9153301007086908
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9257739649384558
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9015292801193584
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8772845953002611
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8772845953002611
Parameter set: {'lr': 0.001, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.8784035807534502
Parameter set: {'lr': 0.001, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.8884744498321522
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.9093621782916822
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9015292801193584
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.9004102946661693
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.9056322267810518
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.01, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.9060052219321149
Parameter set: {'lr': 0.01, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.9041402461767997
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 4}, Accuracy: 0.24393882879522566
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.24393882879522566
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 8}, Accuracy: 0.14285714285714285
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 8}, Accuracy: 0.14285714285714285
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 12}, Accuracy: 0.8769116001491981
Parameter set: {'lr': 0.1, 'epoch': 5, 'batch_size': 16}, Accuracy: 0.4576650503543454
Parameter set: {'lr': 0.1, 'epoch': 10, 'batch_size': 16}, Accuracy: 0.4576650503543454
Best Parameter set: {'lr': 1e-05, 'epoch': 10, 'batch_size': 4}, Accuracy: 0.9439612085042895


